Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-IAM4","MLOps-Inference-Infra-Stack/LabelingPipeline/Role/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","MLOps-Inference-Infra-Stack/LabelingPipeline/Role/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MLOps-Inference-Infra-Stack/LabelingPipeline/Role/DefaultPolicy/Resource","Suppressed","Suppress disallowed use of wildcards in IAM policies for increased simplicity as this is a sample. Scope down in production!","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MLOps-Inference-Infra-Stack/LabelingPipeline/Role/DefaultPolicy/Resource","Suppressed","Suppress disallowed use of wildcards in IAM policies for increased simplicity as this is a sample. Scope down in production!","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MLOps-Inference-Infra-Stack/LabelingPipeline/Role/DefaultPolicy/Resource","Suppressed","Suppress disallowed use of wildcards in IAM policies for increased simplicity as this is a sample. Scope down in production!","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MLOps-Inference-Infra-Stack/LabelingPipeline/Role/DefaultPolicy/Resource","Suppressed","Suppress disallowed use of wildcards in IAM policies for increased simplicity as this is a sample. Scope down in production!","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MLOps-Inference-Infra-Stack/LabelingPipeline/Role/DefaultPolicy/Resource","Suppressed","Suppress disallowed use of wildcards in IAM policies for increased simplicity as this is a sample. Scope down in production!","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MLOps-Inference-Infra-Stack/LabelingPipeline/Role/DefaultPolicy/Resource","Suppressed","Suppress disallowed use of wildcards in IAM policies for increased simplicity as this is a sample. Scope down in production!","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","MLOps-Inference-Infra-Stack/MlOpsEdge-Inference-Pipeline/CodeBuildActionRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","MLOps-Inference-Infra-Stack/MlOpsEdge-Inference-Pipeline/CodeBuildActionRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MLOps-Inference-Infra-Stack/MlOpsEdge-Inference-Pipeline/CodeBuildActionRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","MLOps-Inference-Infra-Stack/MlOpsEdge-Inference-Pipeline/UpdatePipeline/SelfMutation/Role/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","MLOps-Inference-Infra-Stack/MlOpsEdge-Inference-Pipeline/UpdatePipeline/SelfMutation/Role/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MLOps-Inference-Infra-Stack/MlOpsEdge-Inference-Pipeline/UpdatePipeline/SelfMutation/Role/DefaultPolicy/Resource","Suppressed","Suppress disallowed use of wildcards in IAM policies for increased simplicity as this is a sample. Scope down in production!","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MLOps-Inference-Infra-Stack/MlOpsEdge-Inference-Pipeline/UpdatePipeline/SelfMutation/Role/DefaultPolicy/Resource","Suppressed","Suppress disallowed use of wildcards in IAM policies for increased simplicity as this is a sample. Scope down in production!","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MLOps-Inference-Infra-Stack/MlOpsEdge-Inference-Pipeline/UpdatePipeline/SelfMutation/Role/DefaultPolicy/Resource","Suppressed","Suppress disallowed use of wildcards in IAM policies for increased simplicity as this is a sample. Scope down in production!","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MLOps-Inference-Infra-Stack/MlOpsEdge-Inference-Pipeline/UpdatePipeline/SelfMutation/Role/DefaultPolicy/Resource","Suppressed","Suppress disallowed use of wildcards in IAM policies for increased simplicity as this is a sample. Scope down in production!","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MLOps-Inference-Infra-Stack/MlOpsEdge-Inference-Pipeline/UpdatePipeline/SelfMutation/Role/DefaultPolicy/Resource","Suppressed","Suppress disallowed use of wildcards in IAM policies for increased simplicity as this is a sample. Scope down in production!","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MLOps-Inference-Infra-Stack/MlOpsEdge-Inference-Pipeline/UpdatePipeline/SelfMutation/Role/DefaultPolicy/Resource","Suppressed","Suppress disallowed use of wildcards in IAM policies for increased simplicity as this is a sample. Scope down in production!","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MLOps-Inference-Infra-Stack/MlOpsEdge-Inference-Pipeline/UpdatePipeline/SelfMutation/Role/DefaultPolicy/Resource","Suppressed","Suppress disallowed use of wildcards in IAM policies for increased simplicity as this is a sample. Scope down in production!","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
